id,gx_id,ticker,ex_date,payable_date,dvd_amount,currency
1373,NULL,CM CN,1987-12-18 00:00:00.000,1988-01-28 00:00:00.000,0.0675,CAD
1374,NULL,CM CN,1987-09-22 00:00:00.000,1987-10-28 00:00:00.000,0.0675,CAD
1375,NULL,CM CN,1987-06-22 00:00:00.000,1987-07-28 00:00:00.000,0.0675,CAD
1376,NULL,CM CN,1987-03-23 00:00:00.000,1987-04-28 00:00:00.000,0.0675,CAD
1377,NULL,CM CN,1986-12-18 00:00:00.000,1987-01-28 00:00:00.000,0.0675,CAD
1378,NULL,CM CN,1986-09-22 00:00:00.000,1986-10-28 00:00:00.000,0.0675,CAD
1379,NULL,CM CN,1986-06-23 00:00:00.000,1986-07-28 00:00:00.000,0.0675,CAD
1380,NULL,CM CN,1986-03-21 00:00:00.000,1986-04-28 00:00:00.000,0.0675,CAD
1381,NULL,CM CN,1986-01-27 00:00:00.000,1986-01-31 00:00:00.000,2,CAD
1382,NULL,CM CN,1985-12-20 00:00:00.000,1986-01-28 00:00:00.000,0.0675,CAD
1383,NULL,CM CN,1985-09-23 00:00:00.000,1985-10-28 00:00:00.000,0.065,CAD
1384,NULL,CM CN,1985-06-24 00:00:00.000,1985-07-29 00:00:00.000,0.065,CAD
1385,NULL,CM CN,1985-03-22 00:00:00.000,1985-04-29 00:00:00.000,0.065,CAD
5269,NULL,NA CN,2024-04-05 00:00:00.000,2024-05-01 00:00:00.000,1.06,CAD
3039,NULL,NA CN,2024-03-22 00:00:00.000,2024-05-01 00:00:00.000,1.06,CAD
3040,NULL,NA CN,2023-12-21 00:00:00.000,2024-02-01 00:00:00.000,1.06,CAD
3041,NULL,NA CN,2023-09-22 00:00:00.000,2023-11-01 00:00:00.000,1.02,CAD
3042,NULL,NA CN,2023-06-23 00:00:00.000,2023-08-01 00:00:00.000,1.02,CAD
3043,NULL,NA CN,2023-03-24 00:00:00.000,2023-05-01 00:00:00.000,0.97,CAD
3044,NULL,NA CN,2022-12-22 00:00:00.000,2023-02-01 00:00:00.000,0.97,CAD
3045,NULL,NA CN,2022-09-23 00:00:00.000,2022-11-01 00:00:00.000,0.92,CAD
3046,NULL,NA CN,2022-06-24 00:00:00.000,2022-08-01 00:00:00.000,0.92,CAD
3047,NULL,NA CN,2022-03-25 00:00:00.000,2022-05-01 00:00:00.000,0.87,CAD
3048,NULL,NA CN,2021-12-23 00:00:00.000,2022-02-01 00:00:00.000,0.87,CAD
3049,NULL,NA CN,2021-09-24 00:00:00.000,2021-11-01 00:00:00.000,0.71,CAD
3050,NULL,NA CN,2021-06-25 00:00:00.000,2021-08-01 00:00:00.000,0.71,CAD
3051,NULL,NA CN,2021-03-26 00:00:00.000,2021-05-01 00:00:00.000,0.71,CAD
3052,NULL,NA CN,2020-12-23 00:00:00.000,2021-02-01 00:00:00.000,0.71,CAD
3053,NULL,NA CN,2020-09-25 00:00:00.000,2020-11-01 00:00:00.000,0.71,CAD
3054,NULL,NA CN,2020-06-26 00:00:00.000,2020-08-01 00:00:00.000,0.71,CAD
3055,NULL,NA CN,2020-03-27 00:00:00.000,2020-05-01 00:00:00.000,0.71,CAD
3056,NULL,NA CN,2019-12-27 00:00:00.000,2020-02-01 00:00:00.000,0.71,CAD
3057,NULL,NA CN,2019-09-27 00:00:00.000,2019-11-01 00:00:00.000,0.68,CAD
3058,NULL,NA CN,2019-06-24 00:00:00.000,2019-08-01 00:00:00.000,0.68,CAD
3059,NULL,NA CN,2019-03-22 00:00:00.000,2019-05-01 00:00:00.000,0.65,CAD
3060,NULL,NA CN,2018-12-28 00:00:00.000,2019-02-01 00:00:00.000,0.65,CAD
3061,NULL,NA CN,2018-09-21 00:00:00.000,2018-11-01 00:00:00.000,0.62,CAD
3062,NULL,NA CN,2018-06-25 00:00:00.000,2018-08-01 00:00:00.000,0.62,CAD
3063,NULL,NA CN,2018-03-23 00:00:00.000,2018-05-01 00:00:00.000,0.6,CAD
3064,NULL,NA CN,2017-12-22 00:00:00.000,2018-02-01 00:00:00.000,0.6,CAD
3065,NULL,NA CN,2017-09-22 00:00:00.000,2017-11-01 00:00:00.000,0.58,CAD
3066,NULL,NA CN,2017-06-22 00:00:00.000,2017-08-01 00:00:00.000,0.58,CAD
3067,NULL,NA CN,2017-03-23 00:00:00.000,2017-05-01 00:00:00.000,0.56,CAD
3068,NULL,NA CN,2016-12-22 00:00:00.000,2017-02-01 00:00:00.000,0.56,CAD
3069,NULL,NA CN,2016-09-22 00:00:00.000,2016-11-01 00:00:00.000,0.55,CAD
3070,NULL,NA CN,2016-06-16 00:00:00.000,2016-08-01 00:00:00.000,0.55,CAD
3071,NULL,NA CN,2016-03-23 00:00:00.000,2016-05-01 00:00:00.000,0.54,CAD
3072,NULL,NA CN,2015-12-17 00:00:00.000,2016-02-01 00:00:00.000,0.54,CAD
3073,NULL,NA CN,2015-09-24 00:00:00.000,2015-11-01 00:00:00.000,0.52,CAD
3074,NULL,NA CN,2015-06-18 00:00:00.000,2015-08-01 00:00:00.000,0.52,CAD
3075,NULL,NA CN,2015-03-26 00:00:00.000,2015-05-01 00:00:00.000,0.5,CAD
3076,NULL,NA CN,2014-12-23 00:00:00.000,2015-02-01 00:00:00.000,0.5,CAD
3077,NULL,NA CN,2014-09-23 00:00:00.000,2014-11-01 00:00:00.000,0.48,CAD
3078,NULL,NA CN,2014-06-24 00:00:00.000,2014-08-01 00:00:00.000,0.48,CAD
3079,NULL,NA CN,2014-03-25 00:00:00.000,2014-05-01 00:00:00.000,0.46,CAD
3080,NULL,NA CN,2014-02-14 00:00:00.000,2014-02-13 00:00:00.000,2,CAD
3081,NULL,NA CN,2013-12-23 00:00:00.000,2014-02-01 00:00:00.000,0.46,CAD
3082,NULL,NA CN,2013-09-24 00:00:00.000,2013-11-01 00:00:00.000,0.435,CAD
3083,NULL,NA CN,2013-06-18 00:00:00.000,2013-08-01 00:00:00.000,0.435,CAD
3084,NULL,NA CN,2013-03-26 00:00:00.000,2013-05-01 00:00:00.000,0.415,CAD
3085,NULL,NA CN,2012-12-21 00:00:00.000,2013-02-01 00:00:00.000,0.415,CAD
3086,NULL,NA CN,2012-09-25 00:00:00.000,2012-11-01 00:00:00.000,0.395,CAD
3087,NULL,NA CN,2012-06-26 00:00:00.000,2012-08-01 00:00:00.000,0.395,CAD
3088,NULL,NA CN,2012-03-27 00:00:00.000,2012-05-01 00:00:00.000,0.375,CAD
